goose_feed,goose_vocal,duck_feed,duck_vocal,gull_feed,gull_vocal,other_feed,other_vocal
0,0,0,0,21,3,0,0
0,0,0,0,23,3,0,0
0,0,0,0,7,4,0,0
0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0
0,0,2,0,0,0,0,0
1,4,0,0,0,0,0,0
2,3,0,0,0,0,0,0
3,15,0,2,0,0,0,0
4,2,0,0,0,0,0,0
5,3,0,0,0,0,0,0
0,0,1,0,0,0,0,2
2,0,1,0,2,0,0,2
0,0,0,3,0,0,0,4
0,0,0,0,4,6,3,0
0,0,0,0,6,3,0,0
9,3,0,0,0,0,0,0
11,13,0,0,0,0,0,0
43,0,0,0,0,0,0,0
28,1,0,0,0,0,0,0
0,0,3,0,0,0,0,0
0,0,58,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,3,0,0,0,0,0
9,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
33,1,0,0,0,0,0,0
0,0,3,0,0,0,0,0
4,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
37,32,0,0,0,0,0,0
0,0,0,3,0,0,0,0
0,0,0,0,0,0,0,0
1,0,8,1,0,0,0,0
0,0,29,4,0,0,0,0
0,0,0,4,0,0,0,0
0,0,19,0,0,0,0,0
0,0,5,0,0,0,0,0
0,86,0,0,0,0,0,0
7,0,0,0,0,0,0,0
28,2,0,0,0,0,0,0
7,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0
0,0,4,0,0,0,0,0
0,0,0,0,91,1,0,0
0,0,0,0,62,3,0,0
7,0,10,0,0,0,0,0
22,83,0,0,0,0,0,0
45,1,1,1,0,0,0,0
16,1,11,2,0,0,0,0
0,4,1,33,0,0,0,0
0,2,56,3,0,0,0,0
0,0,35,5,0,0,0,0
0,0,7,2,0,0,0,0
0,0,7,0,0,0,0,0
3,31,9,0,0,0,0,0
30,29,0,0,0,0,0,0
6,2,35,1,0,0,0,0
5,6,0,0,0,0,5,0
1,12,0,0,0,0,4,0
6,46,32,0,0,0,0,0
0,5,0,3,0,0,0,0
8,36,0,3,0,0,11,0
1,0,0,0,0,0,0,0
0,34,1,0,0,0,3,0
32,7,0,0,0,0,0,0
0,69,5,0,0,0,0,0
0,6,0,0,0,0,4,0
0,0,5,7,0,0,3,0
0,3,0,28,0,0,0,0
11,1,0,0,0,0,0,0
0,0,10,9,0,0,0,0
0,0,9,4,0,0,0,0
0,0,7,2,0,0,0,0
10,3,0,0,0,0,0,0
0,0,20,1,0,0,0,0
0,0,25,1,0,0,0,0
27,24,0,0,0,0,0,0
0,0,4,0,0,0,0,0
25,19,0,0,0,0,0,0
28,6,0,0,0,0,0,0
19,2,0,0,0,0,0,0
20,16,0,0,0,0,0,0
2,4,0,0,0,0,0,0
6,7,0,0,0,0,0,0
19,0,0,0,0,0,0,0
0,0,0,21,0,0,0,0
